,longitude,latitude,heat_flow,geometry
6791,-92.5388,17.8955,54.0,POINT (-92.53879999999999 17.8955)
6792,-98.0333,22.9833,54.0,POINT (-98.0333 22.9833)
6793,-97.4666,20.5999,54.0,POINT (-97.4666 20.5999)
6794,-98.2999,22.3999,54.0,POINT (-98.29989999999999 22.3999)
6795,-93.8736,17.4316,54.0,POINT (-93.8736 17.4316)
6796,-97.9833,22.9166,54.0,POINT (-97.9833 22.9166)
6797,-97.9666,22.8666,54.0,POINT (-97.9666 22.8666)
6798,-92.6533,17.9499,54.0,POINT (-92.6533 17.9499)
6799,-92.508,17.6747,53.0,POINT (-92.508 17.6747)
6800,-92.7461,17.8041,53.0,POINT (-92.7461 17.8041)
6801,-98.2999,21.0666,53.0,POINT (-98.29989999999999 21.0666)
6802,-97.8333,21.8666,53.0,POINT (-97.83329999999999 21.8666)
6803,-98.5999,25.7555,53.0,POINT (-98.59990000000001 25.7555)
6804,-98.2166,23.9333,53.0,POINT (-98.2166 23.9333)
6805,-98.3499,24.4166,53.0,POINT (-98.34990000000001 24.4166)
6806,-98.9333,26.1888,53.0,POINT (-98.9333 26.1888)
6807,-92.443,17.8299,53.0,POINT (-92.443 17.8299)
6808,-99.2055,25.9333,53.0,POINT (-99.2055 25.9333)
6809,-98.2833,24.0999,53.0,POINT (-98.2833 24.0999)
6810,-92.5499,17.9894,53.0,POINT (-92.54989999999999 17.9894)
6811,-98.0499,22.7166,53.0,POINT (-98.04989999999999 22.7166)
6812,-97.8499,20.8166,53.0,POINT (-97.84990000000001 20.8166)
6813,-98.0333,22.9833,52.0,POINT (-98.0333 22.9833)
6814,-92.9208,18.1677,52.0,POINT (-92.9208 18.1677)
6815,-98.0,21.4166,52.0,POINT (-98 21.4166)
6816,-98.5999,24.2666,52.0,POINT (-98.59990000000001 24.2666)
6817,-97.5749,25.5055,52.0,POINT (-97.5749 25.5055)
6818,-98.7833,22.6999,52.0,POINT (-98.7833 22.6999)
6819,-113.3333,28.0,51.0,POINT (-113.3333 28)
6820,-107.4833,30.8333,51.0,POINT (-107.4833 30.8333)
6821,-98.2833,24.0999,51.0,POINT (-98.2833 24.0999)
6822,-97.6666,25.6111,51.0,POINT (-97.6666 25.6111)
6823,-97.9499,22.0333,51.0,POINT (-97.9499 22.0333)
6824,-98.0666,22.6499,51.0,POINT (-98.06659999999999 22.6499)
6825,-98.0666,23.7666,51.0,POINT (-98.06659999999999 23.7666)
6826,-100.805,22.2233,51.0,POINT (-100.805 22.2233)
6827,-98.1999,22.7333,51.0,POINT (-98.1999 22.7333)
6828,-112.3833,27.4,51.0,POINT (-112.3833 27.4)
6829,-98.7166,22.2999,51.0,POINT (-98.7166 22.2999)
6830,-97.4277,25.5833,51.0,POINT (-97.4277 25.5833)
6831,-94.3802,17.9286,50.0,POINT (-94.3802 17.9286)
6832,-97.5499,20.8666,50.0,POINT (-97.54989999999999 20.8666)
6833,-98.6999,22.4166,50.0,POINT (-98.6999 22.4166)
6834,-92.5499,17.9894,50.0,POINT (-92.54989999999999 17.9894)
6835,-93.0655,17.2886,50.0,POINT (-93.0655 17.2886)
6836,-98.6999,22.6166,50.0,POINT (-98.6999 22.6166)
6839,-98.7166,22.2999,50.0,POINT (-98.7166 22.2999)
6840,-92.3444,18.2622,50.0,POINT (-92.34439999999999 18.2622)
6841,-92.3608,18.6163,50.0,POINT (-92.3608 18.6163)
6842,-98.8999,22.2166,49.0,POINT (-98.8999 22.2166)
6843,-97.6166,20.9833,49.0,POINT (-97.61660000000001 20.9833)
6844,-92.6858,17.8652,49.0,POINT (-92.6858 17.8652)
6845,-92.6686,18.0522,49.0,POINT (-92.6686 18.0522)
6846,-98.7833,22.4666,49.0,POINT (-98.7833 22.4666)
6847,-98.2999,22.1999,49.0,POINT (-98.29989999999999 22.1999)
6848,-94.2641,18.0033,49.0,POINT (-94.2641 18.0033)
6849,-98.3999,22.7666,49.0,POINT (-98.3999 22.7666)
6850,-98.1666,20.9833,49.0,POINT (-98.1666 20.9833)
6851,-98.6999,22.6166,49.0,POINT (-98.6999 22.6166)
6852,-97.7666,21.5499,49.0,POINT (-97.7666 21.5499)
6853,-98.4333,22.6666,49.0,POINT (-98.4333 22.6666)
6854,-93.2558,17.9661,49.0,POINT (-93.25579999999999 17.9661)
6855,-97.8166,20.7166,49.0,POINT (-97.81659999999999 20.7166)
6856,-98.2999,22.1999,48.0,POINT (-98.29989999999999 22.1999)
6857,-97.4166,20.7666,48.0,POINT (-97.4166 20.7666)
6858,-94.2641,18.0033,48.0,POINT (-94.2641 18.0033)
6859,-92.8499,17.8694,48.0,POINT (-92.84990000000001 17.8694)
6861,-93.4758,18.3599,48.0,POINT (-93.47580000000001 18.3599)
6862,-97.5916,21.2666,48.0,POINT (-97.5916 21.2666)
6863,-92.9274,17.7469,47.0,POINT (-92.92740000000001 17.7469)
6864,-98.7666,22.3666,47.0,POINT (-98.7666 22.3666)
6865,-98.3499,24.4166,47.0,POINT (-98.34990000000001 24.4166)
6866,-93.0833,16.925,47.0,POINT (-93.08329999999999 16.925)
6867,-92.7091,18.2741,47.0,POINT (-92.70910000000001 18.2741)
6868,-92.8347,18.0938,47.0,POINT (-92.8347 18.0938)
6869,-92.8499,17.8694,47.0,POINT (-92.84990000000001 17.8694)
6870,-92.9988,18.0097,46.0,POINT (-92.9988 18.0097)
6871,-98.3999,22.7666,46.0,POINT (-98.3999 22.7666)
6872,-93.4324,18.3616,46.0,POINT (-93.4324 18.3616)
6873,-98.2833,24.0999,46.0,POINT (-98.2833 24.0999)
6874,-93.7624,18.0686,46.0,POINT (-93.7624 18.0686)
6875,-92.3444,18.2622,46.0,POINT (-92.34439999999999 18.2622)
6876,-93.093,18.1541,45.0,POINT (-93.093 18.1541)
6877,-98.7666,22.3666,45.0,POINT (-98.7666 22.3666)
6878,-98.25,22.9166,45.0,POINT (-98.25 22.9166)
6879,-92.3608,18.6163,45.0,POINT (-92.3608 18.6163)
6880,-92.9274,17.7469,45.0,POINT (-92.92740000000001 17.7469)
6881,-92.9255,18.2152,45.0,POINT (-92.9255 18.2152)
6882,-92.3513,18.3277,44.0,POINT (-92.35129999999999 18.3277)
6883,-98.4333,22.5833,44.0,POINT (-98.4333 22.5833)
6884,-94.1183,18.0113,44.0,POINT (-94.1183 18.0113)
6885,-100.2667,25.6667,44.0,POINT (-100.2667 25.6667)
6886,-98.7833,22.1499,44.0,POINT (-98.7833 22.1499)
6887,-98.25,22.9166,43.0,POINT (-98.25 22.9166)
